this_od_trip_start_station,count
0,29
1,52
2,452
4,28
7,629
8,292
9,7
10,12
12,2
14,318
15,87
16,360
17,331
18,49
19,116
20,22
21,62
22,43
23,749
24,467
25,121
28,2171
29,49
30,553
31,1225
32,176
33,729
34,6
35,335
36,6
38,15
39,10
40,123
41,4
42,29
43,42
44,443
46,35
47,1
48,53
49,149
50,36
52,17
53,328
54,54
55,50
56,22
57,10
58,10
59,707
60,889
61,781
62,228
65,64
66,363
67,7
68,65
69,318
70,73
71,25
72,120
73,156
74,19
75,200
76,46
78,204
79,320
80,211
81,86
82,63
83,212
84,616
85,226
86,76
87,2105
88,1299
90,429
91,79
92,413
93,168
94,604
95,21
96,21
98,33
99,52
100,38
102,1
103,41
105,727
108,12
109,255
110,70
111,3
112,42
113,384
114,11
115,61
116,66
118,23
119,110
121,778
122,2056
123,36
124,3
125,439
126,70
127,291
128,1230
129,32
130,76
131,80
132,6
133,1
134,10
137,2
138,45
139,95
141,21
142,86
143,110
144,194
145,3
146,21
147,100
148,5
149,2
150,140
151,145
152,33
153,123
155,30
156,1
157,23
158,21
159,34
160,362
161,933
163,275
164,105
165,270
169,1
170,162
171,183
172,6
176,267
180,1
181,35
184,1791
185,10
186,39
187,5
188,5
189,1167
192,198
193,183
194,50
195,18
196,698
197,57
198,16
199,7
200,3
201,26
203,3
204,46
205,11
206,7
207,1091
208,379
209,112
211,87
212,163
213,97
214,741
215,768
216,1943
217,65
218,567
220,465
221,357
223,3
224,8
225,110
226,652
227,295
228,3
229,428
230,294
231,202
233,889
234,251
235,1096
236,88
237,174
238,1
239,475
240,100
241,65
242,198
243,1
244,43
245,32
247,2
248,45
249,828
250,8
251,225
252,24
254,92
255,2
256,2
259,3
260,76
261,7817
262,370
263,3204
265,16
266,8
267,29
268,7
269,107
270,56
272,131
273,58
274,229
275,10
278,12
279,46
280,211
281,277
283,2
284,165
285,188
287,299
289,395
290,80
291,12
292,46
294,66
295,353
296,73
300,218
301,305
302,16
304,11
305,160
306,615
307,161
308,3
309,9
310,432
311,146
313,32
314,5
315,6
316,2
317,283
318,2
319,70
320,1172
321,75
322,39
323,11
324,57
325,148
326,84
328,78
330,81
331,1
332,20
333,12
334,6
335,49
336,515
337,3
338,6
339,65
340,14
341,1068
342,219
343,14
344,207
345,421
346,93
347,126
349,4245
350,17
351,9
352,704
353,843
354,1319
355,206
356,229
357,253
358,18
359,862
360,5
361,2
363,198
364,15
365,208
366,536
368,1146
369,327
370,8
371,878
372,15
373,83
374,800
375,386
376,51
377,278
378,251
379,1
381,15
382,194
384,48
385,134
386,167
387,3055
389,888
391,14
392,63
393,4
394,214
395,48
396,530
397,13
398,874
399,410
400,126
401,114
402,22
403,1375
404,3883
405,1283
406,4052
407,104
408,23
409,21
410,114
411,6
412,78
413,2
414,420
415,350
416,202
417,165
418,61
419,1485
421,9
422,9
423,13
424,1553
425,3
426,26
427,56
428,265
429,47
430,1596
431,1164
432,419
433,34
434,1
435,3
436,144
437,327
438,599
439,157
441,15
442,3
443,1
444,4
445,4
446,18
447,1808
448,682
449,784
451,14
452,378
453,129
454,23
455,82
457,207
458,255
460,275
461,401
462,2
463,9
465,179
466,591
467,93
468,30
471,736
472,202
473,602
475,271
476,446
477,120
478,3
479,8
480,5
482,2
483,42
484,18
485,394
486,173
487,228
488,109
490,35
491,4
493,56
494,112
495,25
496,7
497,114
498,233
499,2
500,157
501,65
502,262
504,47
505,14
506,90
507,605
508,1782
509,509
511,33
512,102
513,86
514,8
515,1
516,1191
517,31
518,24
519,1
520,21
521,168
522,261
523,242
524,177
525,440
526,594
527,902
528,173
529,132
531,70
533,207
534,2158
536,31
537,796
538,40
539,622
540,12
542,9
543,3
545,8
546,5
547,36
550,1368
